number_of_elements,wtd_gmean_atomic_radius,wtd_gmean_atomic_mass,wtd_std_atomic_mass,gmean_atomic_mass,entropy_atomic_mass,std_fie,wtd_gmean_Density,wtd_mean_Valence,wtd_mean_Valence,wtd_mean_fie,critical_temp
4,84.39023852,35.30555227,50.9131317,59.31009613,1.197273033,314.5059658,52.14689457,2.235714286,2.235714286,1011.766429,18.3
4,84.46023438,35.18954153,50.49334902,59.31009613,1.197273033,314.5059658,51.83168535,2.228571429,2.228571429,1011.822857,18.3
4,84.14570953,35.71460998,52.33568398,59.31009613,1.197273033,314.5059658,53.26529919,2.260714286,2.260714286,1011.568929,37.5
4,83.89264588,35.17882959,52.38659653,48.77579155,1.139875458,307.2644179,52.82511065,2.264285714,2.264285714,1012.406429,20
4,198.3523123,137.3874671,45.52345927,70.11038829,1.15476159,313.5604487,4308.241738,2.8,2.8,647.68,76.9
4,136.9831581,73.42898318,67.42480225,70.11038829,1.15476159,313.5604487,835.6123148,2.45,2.45,811,65.3
4,181.219651,115.8195749,55.55912316,70.11038829,1.15476159,313.5604487,2485.064871,2.666666667,2.666666667,686.5111111,78.6
6,136.0878855,72.5430728,66.1905647,81.54713004,1.633227497,281.0401677,831.9060799,2.45,2.45,808.447,79.3
4,117.9429444,48.95599366,43.84972761,59.35667247,1.199540745,311.7434923,367.2048501,2.133333333,2.133333333,868.5866667,90
4,117.9429444,48.95599366,43.84972761,59.35667247,1.199540745,311.7434923,367.2048501,2.133333333,2.133333333,868.5866667,90.5
4,118.5062457,53.61111952,57.1397877,69.51592978,1.159784345,316.9823418,416.4541728,2.166666667,2.166666667,866.6166667,92
4,118.9288008,53.14692528,55.44574494,69.68934187,1.158346429,315.7090512,398.4389722,2.116666667,2.116666667,863.625,93.2
4,119.1881738,52.96375685,54.70527853,69.68934187,1.158346429,315.7090512,392.0065568,2.1,2.1,862.1833333,94.4
4,119.4481125,52.78121969,53.94950747,69.68934187,1.158346429,315.7090512,385.6779866,2.083333333,2.083333333,860.7416667,93.2
4,119.708618,52.59931164,53.17777925,69.68934187,1.158346429,315.7090512,379.4515851,2.066666667,2.066666667,859.3,80.5
4,89.11038755,36.15521124,49.19499519,66.36159243,1.181795239,323.8118078,67.98483256,2.076923077,2.076923077,997.9076923,48
4,153.2559871,68.22961748,40.61229287,59.35667247,1.199540745,311.7434923,1780.077447,2.142857143,2.142857143,738.3571429,90
4,84.8392162,32.48762068,43.91875628,59.35667247,1.199540745,311.7434923,42.92913457,2.094117647,2.094117647,1032.743529,90
4,85.91197832,32.99627767,44.71982668,59.35667247,1.199540745,311.7434923,44.25880823,2.1,2.1,1027.056667,92
4,88.5740717,34.26499144,46.51253455,59.35667247,1.199540745,311.7434923,47.66201668,2.114285714,2.114285714,1013.245714,80
4,117.4923202,52.21886037,51.157461,66.98998734,1.178059558,325.5704638,389.8856388,2.133333333,2.133333333,857.4,85
4,82.88611113,32.67005238,49.76226558,67.86910795,1.172280292,322.7705871,40.41018213,2.08,2.08,1040.912,8
4,82.94329404,32.75954233,50.63375605,68.45176101,1.168103274,314.899087,41.75729504,2.08,2.08,1044.696,13
4,82.79947692,32.84572426,51.52423376,69.01608234,1.163801064,319.2888269,42.02223486,2.08,2.08,1042.52,91
4,82.74113624,32.88475522,51.94450734,69.27269554,1.161762834,318.1232348,42.11692551,2.08,2.08,1043.08,94
4,82.74113624,32.92166058,52.35182946,69.51592978,1.159784345,316.9823418,42.21930214,2.08,2.08,1043.64,93
4,82.62301587,32.94791841,52.64758906,69.68934187,1.158346429,315.7090512,42.31273189,2.08,2.08,1044.28,93
4,82.47258062,33.04053153,53.73100963,70.3033264,1.153075171,329.0811526,42.49726018,2.08,2.08,1038.2,91
4,162.6970769,80.28529458,44.10887837,66.98998734,1.178059558,325.5704638,2997.235573,2.181818182,2.181818182,691.6909091,18
4,155.8097925,73.54839827,47.35603901,67.68930284,1.173513988,323.9929581,1911.132167,2.142857143,2.142857143,727.6,43
4,166.3814744,81.55563817,46.99292285,68.45176101,1.168103274,314.899087,3063.154387,2.181818182,2.181818182,703.0909091,40
4,153.2559871,68.22961748,40.61229287,59.35667247,1.199540745,311.7434923,1780.077447,2.142857143,2.142857143,738.3571429,70
4,82.61052221,31.57195771,43.34720938,59.35667247,1.199540745,311.7434923,39.70580846,2.06,2.06,1044.134,95.5
4,140.234748,60.6611761,45.74050965,59.35667247,1.199540745,311.7434923,661.4965044,2.2,2.2,788.355,94
4,130.2069195,55.33611969,45.40023471,59.35667247,1.199540745,311.7434923,514.015827,2.171428571,2.171428571,822.74,88
5,85.1438269,37.01124469,57.43775687,82.79331938,1.409442185,303.9566456,53.58855153,2.242857143,2.242857143,1015.31,28
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,35.5
5,136.0978474,72.62638032,66.08953482,80.38402854,1.42727218,297.724924,832.8296744,2.45,2.45,807.905,79.2
4,84.39023852,35.30555227,50.9131317,59.31009613,1.197273033,314.5059658,52.14689457,2.235714286,2.235714286,1011.766429,26
4,117.9429444,48.95599366,43.84972761,59.35667247,1.199540745,311.7434923,367.2048501,2.133333333,2.133333333,868.5866667,92
4,82.62301587,33.01148831,53.38442955,70.11038829,1.15476159,313.5604487,41.14556428,2.08,2.08,1045.4,88
4,86.88416943,38.32499009,68.02049839,70.3033264,1.153075171,329.0811526,60.43399172,2.257142857,2.257142857,1003.042857,71.9
4,74.14090446,26.99102124,31.35828838,59.35667247,1.199540745,311.7434923,23.3741885,2.15,2.15,1100.251667,81
4,84.37135205,36.11956035,53.63940497,66.36159243,1.181795239,323.8118078,53.75848629,2.264285714,2.264285714,1010.544286,28
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,34.7
5,84.29717955,35.58379541,52.13822986,56.82116637,1.431582354,286.0141465,52.84406719,2.271428571,2.271428571,1010.974286,21
5,84.20043528,35.64462459,52.13648937,57.53303016,1.436249876,286.5868985,53.0750347,2.261428571,2.261428571,1011.461571,12
5,84.19686576,35.64566801,52.13634614,57.76929352,1.437728507,286.4124676,53.08737717,2.262857143,2.262857143,1011.464857,22
5,84.20577753,35.64105879,52.13544278,58.4087003,1.441543558,282.7026919,53.07648237,2.262857143,2.262857143,1011.516571,32
5,84.22457798,35.62299822,52.13330797,58.60028948,1.442631653,281.5247669,53.055084,2.264285714,2.264285714,1011.697857,30
5,84.20895247,35.6366965,52.1337271,59.23452356,1.446043866,281.5409356,53.10152186,2.271428571,2.271428571,1011.690714,16
5,84.19696304,35.63565866,52.1336481,59.1862407,1.445794601,282.0370855,53.10186264,2.257142857,2.257142857,1011.534286,21
5,84.17808465,35.65733358,52.13717219,60.47722922,1.451830892,285.2848611,53.08684794,2.257142857,2.257142857,1011.826857,29
5,84.46535576,35.66317465,52.18253021,70.51634872,1.443071966,299.9744562,53.16275282,2.271428571,2.271428571,1011.39,36
5,84.2466182,35.67509208,52.26104712,70.84696486,1.440875157,299.2993993,53.20395149,2.257142857,2.257142857,1011.46,35
5,84.42057968,35.69626897,52.41257625,71.43801289,1.436631768,298.1420641,53.2402723,2.257142857,2.257142857,1011.582857,32
5,84.39497733,35.71912418,52.59470271,72.08103819,1.43155653,291.6878153,53.29497125,2.257142857,2.257142857,1012.355714,30
5,89.76089175,34.88323096,44.17504239,58.63710174,1.44461203,279.1810982,66.24333869,2.088461538,2.088461538,1003.785769,51
5,89.83665663,34.83127327,44.15777414,58.63710174,1.44461203,279.1810982,66.14465566,2.1,2.1,1003.948462,33
5,89.70032586,34.92485292,44.18872347,58.63710174,1.44461203,279.1810982,66.32239112,2.079230769,2.079230769,1003.655615,82
5,89.7154635,34.91444278,44.18531432,58.63710174,1.44461203,279.1810982,66.30261917,2.081538462,2.081538462,1003.688154,60
5,89.74574645,34.8936318,44.17847378,58.63710174,1.44461203,279.1810982,66.26309296,2.086153846,2.086153846,1003.753231,54
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,90
5,93.88328471,36.85439213,43.40685491,52.47855715,1.399446199,290.6393022,115.6417292,2.384615385,2.384615385,979.4615385,90
5,93.18924688,37.1402456,43.29351452,53.54343575,1.408474474,334.2690737,70.61023203,2.307692308,2.307692308,999.1461538,72
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,92
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,93
4,90.33917611,36.5018478,51.77436164,68.45176101,1.168103274,314.899087,69.31121832,2.076923077,2.076923077,1001.992308,94.5
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,91.85
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,91.95
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,89.7
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,89.9
4,86.16146985,34.53087742,52.11094323,69.27269554,1.161762834,318.1232348,52.9317883,2.071428571,2.071428571,1022.771429,85
5,86.29116798,34.27356945,50.29773323,72.12631894,1.43294004,290.0593222,52.31493901,2.071428571,2.071428571,1024.365714,90.5
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,130
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,88.8
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,85.5
5,87.47946495,33.78347932,46.14389918,64.92093185,1.46292343,283.6685911,44.87065254,2.193548387,2.193548387,1020.583871,77.3
4,83.03353476,32.67193998,49.74714366,67.68930284,1.173513988,323.9929581,41.82601925,2.09,2.09,1040.744,69
4,83.08429938,32.64233058,49.50299961,67.68930284,1.173513988,323.9929581,41.51785984,2.08,2.08,1040.368,84.3
4,65.13646734,23.7596736,40.48123492,67.68930284,1.173513988,323.9929581,9.234741495,2.036666667,2.036666667,1161.289778,86.4
4,83.18592176,32.58319226,49.01002335,67.68930284,1.173513988,323.9929581,40.90833554,2.06,2.06,1039.616,88.8
4,83.23677955,32.55366329,48.76114376,67.68930284,1.173513988,323.9929581,40.60693731,2.05,2.05,1039.24,73.6
4,83.28766843,32.52416109,48.51063719,67.68930284,1.173513988,323.9929581,40.30775967,2.04,2.04,1038.864,62.5
4,83.13509504,32.61274802,49.25730063,67.68930284,1.173513988,323.9929581,41.21197085,2.07,2.07,1039.992,93.1
4,82.51320753,31.48057636,42.84980728,59.35667247,1.199540745,311.7434923,39.76997711,2.066666667,2.066666667,1044.886667,92
4,85.00811427,38.15602027,67.52962347,65.68635754,1.100637313,289.6985589,67.85339811,2.461538462,2.461538462,1014.269231,22
4,121.5058948,65.68635754,71.19117078,65.68635754,1.100637313,289.6985589,757.5454786,2.75,2.75,827.5,6.5
4,154.6624768,74.67605855,50.67404868,69.51592978,1.159784345,316.9823418,1969.172416,2.142857143,2.142857143,733.4428571,85.5
4,154.6624768,74.5266382,50.18847596,69.27269554,1.161762834,318.1232348,1960.653753,2.142857143,2.142857143,732.4428571,91
4,155.3379102,74.02066485,48.64941828,68.45176101,1.168103274,314.899087,1930.858128,2.142857143,2.142857143,735.3285714,93
4,90.12083947,35.1474002,44.25356654,59.35667247,1.199540745,311.7434923,68.3455537,2.07751938,2.07751938,1001.224031,95
4,154.1418513,74.19477672,48.81251597,67.86910795,1.172280292,322.7705871,1874.014703,2.214285714,2.214285714,731.7428571,89.5
4,154.4268611,74.74040755,50.24260302,68.45176101,1.168103274,314.899087,2046.067719,2.214285714,2.214285714,741.8785714,92.5
4,151.3327176,66.14322922,37.66160315,59.35667247,1.199540745,311.7434923,1811.143258,2.214285714,2.214285714,746.4214286,90
4,152.8347858,76.29003537,54.80841422,70.11038829,1.15476159,313.5604487,1966.763505,2.214285714,2.214285714,743.7642857,90
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,91.6
5,89.73213698,34.88193874,44.171171,59.22342104,1.447755744,279.7887389,66.33474354,2.076923077,2.076923077,1003.453846,63.9
5,89.61414372,34.8203558,44.21093363,50.69778432,1.383686271,292.0060999,66.03680216,2.080769231,2.080769231,1002.977692,88
5,89.54315295,34.7058234,44.22928688,50.69778432,1.383686271,292.0060999,65.73284093,2.084615385,2.084615385,1002.332308,75
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,39.3
5,84.11900964,35.76328484,52.53178194,59.1862407,1.445794601,282.0370855,53.42590689,2.264285714,2.264285714,1011.509286,22.6
5,84.12718537,35.75314013,52.53035115,59.1862407,1.445794601,282.0370855,53.42479632,2.264285714,2.264285714,1011.477857,4.2
5,89.52896154,34.68296216,44.23290296,50.69778432,1.383686271,292.0060999,65.67221678,2.085384615,2.085384615,1002.203231,82
5,89.51477239,34.66011599,44.23650087,50.69778432,1.383686271,292.0060999,65.61164855,2.086153846,2.086153846,1002.074154,51
5,89.50058548,34.63728486,44.2400806,50.69778432,1.383686271,292.0060999,65.55113618,2.086923077,2.086923077,1001.945077,45
5,89.49349287,34.62587494,44.24186365,50.69778432,1.383686271,292.0060999,65.52090092,2.087307692,2.087307692,1001.880538,45
5,89.42968467,34.52335463,44.25770678,50.69778432,1.383686271,292.0060999,65.24941042,2.090769231,2.090769231,1001.299692,20
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,92.4
4,90.56546128,35.36416735,44.31415642,59.35667247,1.199540745,311.7434923,70.44217403,2.078125,2.078125,998.7875,91.6
4,90.127451,36.67552162,53.31822319,69.51592978,1.159784345,316.9823418,70.04843375,2.076923077,2.076923077,1000.976923,86
5,89.1839642,33.64015278,44.25765381,26.27015125,1.217666928,347.2219613,61.83470156,2.065449011,2.065449011,1006.901218,92.5
5,88.02098028,30.7916766,44.38549416,26.27015125,1.217666928,347.2219613,52.44015535,2.038575668,2.038575668,1014.578932,93.6
5,86.37802022,27.11916065,44.5066822,26.27015125,1.217666928,347.2219613,41.39333156,2,2,1025.6,93.2
4,82.51320753,31.48057636,42.84980728,59.35667247,1.199540745,311.7434923,39.76997711,2.066666667,2.066666667,1044.886667,90
4,89.84499295,36.17818961,50.92116474,67.86910795,1.172280292,322.7705871,65.21474252,2.076335878,2.076335878,1000.756489,94.9
4,89.99044542,36.3181699,51.71230018,68.45176101,1.168103274,314.899087,67.68508909,2.076452599,2.076452599,1003.895107,93.8
4,90.99075747,37.02174385,52.7152317,69.01608234,1.163801064,319.2888269,73.64630015,2.07800312,2.07800312,995.5024961,92.7
4,91.43239453,37.33511151,53.18249332,69.27269554,1.161762834,318.1232348,76.37126861,2.078678206,2.078678206,993.3045633,92.9
4,90.92824496,37.10519591,53.46488596,69.51592978,1.159784345,316.9823418,73.983031,2.07800312,2.07800312,996.5945398,92.4
4,91.58290333,37.55661646,53.87099684,69.68934187,1.158346429,315.7090512,78.18367611,2.079051383,2.079051383,992.9735178,92.5
4,91.30402174,37.47661381,54.49597924,70.11038829,1.15476159,313.5604487,74.63865403,2.078678206,2.078678206,995.5862313,87
4,89.84615494,36.80284461,54.5662413,70.3033264,1.153075171,329.0811526,70.49181611,2.076923077,2.076923077,995.7461538,89.5
4,90.92780348,35.54101697,44.36197801,59.35667247,1.199540745,311.7434923,72.19037456,2.078616352,2.078616352,996.8106918,93.4
4,88.81219598,35.90130516,49.7939489,66.98998734,1.178059558,325.5704638,65.51778362,2.075987842,2.075987842,1001.010334,95.3
4,90.00676424,36.12642844,50.68366803,67.68930284,1.173513988,323.9929581,66.7233436,2.076277651,2.076277651,1000.476049,93.5
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,37.1
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,33
5,91.12963448,35.5812688,44.40601815,59.22342104,1.447755744,279.7887389,72.8532879,2.078678206,2.078678206,995.7925256,65
5,89.70997951,35.07159195,44.3206326,60.51522055,1.453747136,282.3952592,65.80012372,2.076804916,2.076804916,1012.980492,30
5,91.08782698,35.7753804,44.72790389,66.88894152,1.460596663,279.986364,72.55381274,2.066745469,2.066745469,996.526911,86
5,92.58514307,36.6036983,46.28296131,75.30433324,1.400846295,280.402806,80.43322547,2.112258065,2.112258065,989.6212742,81
5,90.73825314,35.33921639,44.33824843,59.27173424,1.448003392,279.2013854,70.64631774,2.12490242,2.12490242,998.7068696,36
5,91.17141629,35.6282478,44.4079851,59.22342104,1.447755744,279.7887389,73.09268842,2.079402516,2.079402516,995.5598899,71
5,90.34267798,35.02743926,44.21780458,58.4453922,1.443530068,280.5365901,68.05420746,2.124496124,2.124496124,1000.561659,63
5,89.76392112,34.88115117,44.17435522,58.63710174,1.44461203,279.1810982,66.23938855,2.088923077,2.088923077,1003.792277,57
5,153.9213973,67.94349032,40.78716528,58.63710174,1.44461203,279.1810982,1774.217564,2.187037037,2.187037037,738.4546011,36
4,90.12083947,35.1474002,44.25356654,59.35667247,1.199540745,311.7434923,68.3455537,2.07751938,2.07751938,1001.224031,88
5,92.46356728,35.2377997,44.77692109,38.64204003,1.279381489,299.6133068,76.66087412,2.067609047,2.067609047,986.5606381,62
5,91.96197793,34.76332493,44.89142285,38.64204003,1.279381489,299.6133068,72.69103249,2.06471519,2.06471519,988.91375,33
5,89.76089175,34.88323096,44.17504239,58.63710174,1.44461203,279.1810982,66.24333869,2.088461538,2.088461538,1003.785769,50
5,89.76089175,34.88323096,44.17504239,58.63710174,1.44461203,279.1810982,66.24333869,2.088461538,2.088461538,1003.785769,57
5,89.83665663,34.83127327,44.15777414,58.63710174,1.44461203,279.1810982,66.14465566,2.1,2.1,1003.948462,4
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,91
5,89.70789436,34.91964746,44.18701982,58.63710174,1.44461203,279.1810982,66.31250441,2.080384615,2.080384615,1003.671885,74
5,89.70789436,34.91964746,44.18701982,58.63710174,1.44461203,279.1810982,66.31250441,2.080384615,2.080384615,1003.671885,59
5,89.73817475,34.89883338,44.18018669,58.63710174,1.44461203,279.1810982,66.2729723,2.085,2.085,1003.736962,61
5,133.7049002,59.62543855,42.93475901,47.26275758,1.352182714,450.9396456,854.9279878,2.022364217,2.022364217,837.6357827,90.5
5,86.87969618,35.01313802,43.7070747,47.26275758,1.352182714,450.9396456,61.70907172,1.951219512,1.951219512,1056.603565,90.3
5,151.4141684,67.41966143,40.8662437,47.26275758,1.352182714,450.9396456,1668.096281,2.132182281,2.132182281,747.1525616,93.4
5,151.4141684,67.41966143,40.8662437,47.26275758,1.352182714,450.9396456,1668.096281,2.132182281,2.132182281,747.1525616,92.2
5,148.7549744,66.25004318,41.2206594,47.26275758,1.352182714,450.9396456,1516.593403,2.11653873,2.11653873,760.0418702,91.6
5,152.8042467,68.03097178,40.67521383,47.26275758,1.352182714,450.9396456,1752.062008,2.140250855,2.140250855,740.504561,90.8
5,152.3279732,67.82153021,40.74110617,47.26275758,1.352182714,450.9396456,1722.914812,2.137494668,2.137494668,742.775487,92.1
5,151.8554704,67.61373885,40.80602311,47.26275758,1.352182714,450.9396456,1694.389586,2.134751773,2.134751773,745.035461,92.5
4,153.2559871,68.22961748,40.61229287,59.35667247,1.199540745,311.7434923,1780.077447,2.142857143,2.142857143,738.3571429,86
4,155.3379102,74.02066485,48.64941828,68.45176101,1.168103274,314.899087,1930.858128,2.142857143,2.142857143,735.3285714,87
4,154.6624768,74.67605855,50.67404868,69.51592978,1.159784345,316.9823418,1969.172416,2.142857143,2.142857143,733.4428571,90
4,154.8572671,74.36875512,49.69090056,69.01608234,1.163801064,319.2888269,1952.789101,2.142857143,2.142857143,731.4428571,92
4,154.6624768,74.5266382,50.18847596,69.27269554,1.161762834,318.1232348,1960.653753,2.142857143,2.142857143,732.4428571,90
4,153.2559871,68.22961748,40.61229287,59.35667247,1.199540745,311.7434923,1780.077447,2.142857143,2.142857143,738.3571429,92
4,84.1108347,35.77343242,52.53320698,59.31009613,1.197273033,314.5059658,53.42701749,2.264285714,2.264285714,1011.540714,34
5,84.11246962,35.77140267,52.53292243,59.1862407,1.445794601,282.0370855,53.42679537,2.264285714,2.264285714,1011.534429,30.5
5,84.11410458,35.76937304,52.53263766,59.1862407,1.445794601,282.0370855,53.42657325,2.264285714,2.264285714,1011.528143,30.5
5,84.11737459,35.76531412,52.53206741,59.1862407,1.445794601,282.0370855,53.42612901,2.264285714,2.264285714,1011.515571,23
5,128.1293459,65.3724192,51.43544766,59.1862407,1.445794601,282.0370855,807.771449,2.4625,2.4625,785.30525,24
5,147.922889,69.4993588,67.41963549,64.81266197,1.323286609,293.2861361,2202.004304,2.222222222,2.222222222,711.9111111,110
5,156.0787917,74.39749473,65.35572755,64.81266197,1.323286609,293.2861361,2307.103398,2.2,2.2,690.97,110
4,153.2559871,68.22961748,40.61229287,59.35667247,1.199540745,311.7434923,1780.077447,2.142857143,2.142857143,738.3571429,93.5
5,153.8935966,67.81661486,40.82338197,56.85686099,1.433616716,284.1043372,1754.058906,2.185714286,2.185714286,736.4885714,94
5,154.5338589,67.4061122,41.0306341,56.85686099,1.433616716,284.1043372,1728.420665,2.228571429,2.228571429,734.62,92.5
5,155.1767849,66.99809437,41.23410714,56.85686099,1.433616716,284.1043372,1703.157166,2.271428571,2.271428571,732.7514286,92.5
5,155.8223858,66.59254632,41.43385674,56.85686099,1.433616716,284.1043372,1678.262931,2.314285714,2.314285714,730.8828571,93.5
5,156.4706726,66.1894531,41.62993652,56.85686099,1.433616716,284.1043372,1653.732563,2.357142857,2.357142857,729.0142857,88
5,157.1216566,65.78879986,41.82239808,56.85686099,1.433616716,284.1043372,1629.560745,2.4,2.4,727.1457143,83.5
5,135.2881799,60.16110851,61.81330799,59.50608142,1.311510373,276.0631478,1288.385292,2.5,2.5,774.0666667,110
5,144.2451933,72.24920003,68.84287171,59.50608142,1.311510373,276.0631478,1790.937965,2.75,2.75,738.0475,75
5,155.5845534,63.97720282,50.42857924,59.50608142,1.311510373,276.0631478,3072.702031,2.333333333,2.333333333,704.6388889,104
5,135.2881799,60.16110851,61.81330799,59.50608142,1.311510373,276.0631478,1288.385292,2.5,2.5,774.0666667,106
5,83.7756349,35.62951397,52.71968094,60.47722922,1.451830892,285.2848611,51.45200267,2.26618705,2.26618705,1014.036691,15
4,89.68519077,34.93526616,44.19212522,59.35667247,1.199540745,311.7434923,66.34216896,2.076923077,2.076923077,1003.623077,91.5
5,90.6185166,35.3310782,44.30190729,59.27173424,1.448003392,279.2013854,70.43629504,2.10296875,2.10296875,998.9502266,54
5,88.67399966,34.26071641,44.02297957,57.80558375,1.439734927,284.5264374,60.8308199,2.133433509,2.133433509,1008.872322,62
4,90.83665521,35.49651334,44.35007864,59.35667247,1.199540745,311.7434923,71.74722758,2.078492936,2.078492936,997.3072214,91
5,89.99939369,35.07627048,44.23299541,58.63710174,1.44461203,279.1810982,67.72145916,2.078886311,2.078886311,1001.969451,91.8
5,90.05848171,35.08706166,44.23578917,58.63710174,1.44461203,279.1810982,67.90363,2.08126935,2.08126935,1001.761378,91.8
5,90.08397014,35.06952468,44.23021289,58.63710174,1.44461203,279.1810982,67.86968562,2.085139319,2.085139319,1001.815944,76
5,90.09105462,35.0132465,44.21281482,58.63710174,1.44461203,279.1810982,67.59976049,2.092807425,2.092807425,1002.165739,49
5,89.88720207,34.7966778,44.14615886,58.63710174,1.44461203,279.1810982,66.07894865,2.107692308,2.107692308,1004.056923,31
5,89.91754122,34.96725923,44.25472133,50.69778432,1.383686271,292.0060999,67.42153292,2.081206497,2.081206497,1001.298763,91
5,89.84592463,34.85162199,44.27376143,50.69778432,1.383686271,292.0060999,67.10952172,2.085073473,2.085073473,1000.649884,92
